# DATI STATISTICHE AGENTE,Source_File
# Codice Agente: 631.00263,631.00263_G2G-TRADE-CONSULTING-SRL
# Ragione Sociale: G2G TRADE CONSULTING SRL,631.00263_G2G-TRADE-CONSULTING-SRL
# Periodo: 01/01/2025 - 31/08/2025,631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 1: VERIFICA OBIETTIVI,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,PIASTRELLE,745.71,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI,650.35,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI RETTIFICATI,775.20,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,COPERTURE,3875.36,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,COTTO A MANO ANTICHE TERRE,6.97,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,LINEA ARCHEO,546.52,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,MATTONE PIENO,4620.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,PIASTRELLE,7.81,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,NUOVA COMES SRL,MATTONE PIENO,3365.68,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,FACCIAVISTA,18914.08,631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 4: RIEPILOGO PER CATEGORIA,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Categoria,Importo_Totale,Provincia_1,Clienti_Prov_1,Provincia_2,Clienti_Prov_2,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,COPERTURE,62125.49,AN,5,PU,3,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,CORRIM.COPRIM.,540.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,COTTO A MANO ANTICHE TERRE,23.62,AN,2,PU,2,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,FACCIAVISTA,20585.36,AN,1,PU,1,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,GANCI E ACCESSO,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,LINEA ARCHEO,546.52,AN,1,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,MATTONE PIENO,44296.24,AN,6,PU,3,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,OUTLET,5726.50,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,PAVIMENTAZIONE POLIS,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,PEZ.SPEC.COPPI,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,PIASTRELLE,3289.88,AN,2,PU,2,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,PRODOTTI FORNO,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,TAVELLONI,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,REFRATTARI,650.35,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,REFRATTARI RETTIFICATI,775.20,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
CATEGORIA_RIEPILOGO,PROMOZIONALI,0.00,AN,0,PU,0,631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 5: RIPARTIZIONE FATTURATO,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Categoria_Prodotto,Importo,Percentuale,631.00263_G2G-TRADE-CONSULTING-SRL
RIPARTIZIONE,Pieni_e_Coppi,109.359,33,83,631.00263_G2G-TRADE-CONSULTING-SRL
RIPARTIZIONE,Altro,23.124,44,17,631.00263_G2G-TRADE-CONSULTING-SRL
## RIEPILOGHI FINALI,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Descrizione,Valore,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Fatturato_Totale,0.00,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Fatturato_LT,0.00,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Fatturato_RM,0.00,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Clienti_Totali,0,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Clienti_LT,0,631.00263_G2G-TRADE-CONSULTING-SRL
TOTALE,Clienti_RM,0,631.00263_G2G-TRADE-CONSULTING-SRL
# Codice Agente: 631.00238,631.00238_CARABOT-NATALINO (3)
# Ragione Sociale: CARABOT NATALINO,631.00238_CARABOT-NATALINO (3)
# Periodo: 01/01/2025 - 31/08/2025,631.00238_CARABOT-NATALINO (3)
## SEZIONE 1: VERIFICA OBIETTIVI,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti,631.00238_CARABOT-NATALINO (3)
OBIETTIVI,Generale,80238.72,90159.79,,,354,20,,,631.00238_CARABOT-NATALINO (3)
OBIETTIVI,LT,79029.16,82389.23,155000.00,"38,%",23,18,35,"51,%",631.00238_CARABOT-NATALINO (3)
## SEZIONE 2: CLIENTI SERVITI PER PROVINCIA,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Provincia,Clienti_Serviti,Fatturato,631.00238_CARABOT-NATALINO (3)
CLIENTI_PROVINCIA,LT,18,60437.22,631.00238_CARABOT-NATALINO (3)
CLIENTI_PROVINCIA,RM,2,7770.56,631.00238_CARABOT-NATALINO (3)
## SEZIONE 3: DETTAGLIO VENDITE PER CLIENTE,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Provincia,Ragione_Sociale_Cliente,Categoria_Articoli,Fatturato,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA SETINA S.R.L.,MATTONE PIENO,1512.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA SETINA S.R.L.,PAVIMENTAZIONE POLIS,1665.62,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,FACCIAVISTA,583.78,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,LINEA ARCHEO,743.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,MATTONE PIENO,151.20,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,PAVIMENTAZIONE POLIS,416.40,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,F.LLI TORA SRL,COPERTURE,3.36,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,F.LLI TORA SRL,LINEA ARCHEO,1.74,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,F.LLI TORA SRL,MATTONE PIENO,3110.40,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,F.LLI TORA SRL,PAVIMENTAZIONE POLIS,1382.40,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,MATTONE PIENO,3693.60,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,OUTLET,0.01,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,PIASTRELLE,1240.95,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,CORRIM.COPRIM.,73.26,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,MATTONE PIENO,7776.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,PAVIMENTAZIONE POLIS,8.67,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,REFRATTARI RETTIFICATI,1281.60,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,STENI SRL,MATTONE PIENO,547.20,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,STENI SRL,PAVIMENTAZIONE POLIS,984.96,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,RM,DOVAL SRL,REFRATTARI,1019.82,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSANCOS SRL,MATTONE PIENO,1528.80,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,ROSANCOS SRL,PAVIMENTAZIONE POLIS,604.80,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILCERAMICA SAS DI VEGLIA CRISTIAN & C.,MATTONE PIENO,1440.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,D'URSO MAT.DA COSTRUZIONE DI D'URSO S. & C SAS,MATTONE PIENO,3744.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,D'URSO MAT.DA COSTRUZIONE DI D'URSO S. & C SAS,PAVIMENTAZIONE POLIS,832.81,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,DIMED SRL,MATTONE PIENO,1326.96,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,MATTONE PIENO,1209.60,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,REFRATTARI,900.83,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,REFRATTARI RETTIFICATI,1935.58,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIM SRL,MATTONE PIENO,1370.88,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIM SRL,PAVIMENTAZIONE POLIS,984.96,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA VENDITTI DI VENDITTI GIOVANNI E C. SNC,MATTONE PIENO,3456.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA VENDITTI DI VENDITTI GIOVANNI E C. SNC,PAVIMENTAZIONE POLIS,2230.80,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,L'EMPORIO DI IOZZI SONIA,MATTONE PIENO,957.60,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,L'EMPORIO DI IOZZI SONIA,PAVIMENTAZIONE POLIS,984.96,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,MATTONE PIENO,864.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,REFRATTARI,379.47,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,REFRATTARI RETTIFICATI,819.98,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,PAVIMENTAZIONE POLIS,2695.68,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,REFRATTARI,640.35,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,REFRATTARI RETTIFICATI,460.34,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,PAVIMENTAZIONE POLIS,933.12,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,REFRATTARI,1969.92,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,REFRATTARI RETTIFICATI,870.33,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,LINEA ARCHEO,1.94,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,MATTONE PIENO,5150.40,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,PAVIMENTAZIONE POLIS,1598.40,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,FACCIAVISTA,1007.62,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,MATTONE PIENO,720.00,631.00238_CARABOT-NATALINO (3)
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,PAVIMENTAZIONE POLIS,362.88,631.00238_CARABOT-NATALINO (3)
## SEZIONE 4: RIEPILOGO PER CATEGORIA,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Categoria,Importo_Totale,Provincia_1,Clienti_Prov_1,Provincia_2,Clienti_Prov_2,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,COPERTURE,3.36,LT,1,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,CORRIM.COPRIM.,73.26,LT,1,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,COTTO A MANO ANTICHE TERRE,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,FACCIAVISTA,1591.40,LT,2,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,GANCI E ACCESSO,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,LINEA ARCHEO,746.68,LT,2,RM,1,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,MATTONE PIENO,38558.64,LT,16,RM,1,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,OUTLET,0.01,LT,1,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,PAVIMENTAZIONE POLIS,15686.46,LT,13,RM,1,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,PEZ.SPEC.COPPI,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,PIASTRELLE,1240.95,LT,1,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,PRODOTTI FORNO,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,TAVELLONI,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,REFRATTARI,4910.39,LT,4,RM,1,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,REFRATTARI RETTIFICATI,5367.83,LT,5,RM,0,631.00238_CARABOT-NATALINO (3)
CATEGORIA_RIEPILOGO,PROMOZIONALI,0.00,LT,0,RM,0,631.00238_CARABOT-NATALINO (3)
## SEZIONE 5: RIPARTIZIONE FATTURATO,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Categoria_Prodotto,Importo,Percentuale,631.00238_CARABOT-NATALINO (3)
RIPARTIZIONE,Pieni_e_Coppi,54.909,62,61,631.00238_CARABOT-NATALINO (3)
RIPARTIZIONE,Altro,35.250,17,39,631.00238_CARABOT-NATALINO (3)
## RIEPILOGHI FINALI,631.00238_CARABOT-NATALINO (3)
Tipo_Dato,Descrizione,Valore,631.00238_CARABOT-NATALINO (3)
TOTALE,Fatturato_Totale,6820778.00,631.00238_CARABOT-NATALINO (3)
TOTALE,Fatturato_LT,6043722.00,631.00238_CARABOT-NATALINO (3)
TOTALE,Fatturato_RM,777056.00,631.00238_CARABOT-NATALINO (3)
TOTALE,Clienti_Totali,20,631.00238_CARABOT-NATALINO (3)
TOTALE,Clienti_LT,18,631.00238_CARABOT-NATALINO (3)
TOTALE,Clienti_RM,2,631.00238_CARABOT-NATALINO (3)
